,Date,ArcaTradeVol,BostonTradeVol,CHXTradeVol,NasdaqTradeVol,NSXTradeVol,PhlxTradeVol,TotTradeVol
1,20160404,79.919,29.931,0,305.159,0,12.274,427.283
2,20160405,77.253,30.61,0,310.742,0,7.431,426.036
3,20160406,78.838,28.447,0.3,322.869,0,6.939,437.393
4,20160407,76.049,30.148,0,375.1,0,6.848,488.145
5,20160408,96.035,27.636,0,316.821,0,6.386,446.878
6,20160411,98.327,42.587,0,368.864,0,8.408,518.186
7,20160412,104.983,35.838,0,368.812,0,3.811,513.444
8,20160413,119.468,33.735,0,407.386,0,12.116,572.705
9,20160414,87.23,30.625,0,377.144,0,3.545,498.544
10,20160415,88.681,38.1,0,375.422,0,6.141,508.344
11,20160418,121.405,50.619,0,443.311,1.2,10.647,627.182
12,20160419,151.303,61.881,0,585.875,0,7.109,806.168
13,20160420,106.326,55.966,0.232,428.635,0,7.937,599.096
14,20160421,159.823,63.253,0,846.448,0,5.897,1075.421
15,20160422,551.998,183.536,0.156,1853.404,0.1,29.397,2618.591
16,20160425,185.152,59.342,0.387,714.21,0,13.63,972.721
17,20160426,208.245,53.98,0,806.936,0,8.42,1077.581
18,20160427,255.396,93.206,0,994.344,0,16.171,1359.117
19,20160428,216.605,88.554,0,791.052,0,25.897,1122.108
20,20160429,183.32,68.07,0,899.909,0.402,15.632,1167.333
21,20160801,248.488,87.528,0,791.284,0.1,13.151,1140.551
22,20160802,170.759,47.859,0,598.059,0,6.453,823.13
23,20160804,93.36,36.358,0,333.936,0,3.203,466.857
24,20160805,122.687,32.817,0,476.951,0,3.093,635.548
25,20160808,87.55,27.43,0,312.038,0,4.614,431.632
26,20160809,146.622,40.076,0,436.519,0,2.714,625.931
27,20160810,45.047,19.091,0,273.263,0,1.844,339.245
28,20160811,68.266,14.563,0,332.926,0,2.963,418.718
29,20160812,56.835,18.957,0,282.387,0,1.536,359.715
30,20160815,59.804,23.033,0,271.441,0.2,2.068,356.546
31,20160816,81.085,21.933,0,320.027,0,6.401,429.446
32,20160817,96.299,20.59,0,313.97,0,5.732,436.591
33,20160818,67.034,36.523,0,220.529,0,4.7,328.786
34,20160819,67.671,18.843,0,350.547,0,6.328,443.389
35,20160822,49.882,21.331,0,282.033,0.004,3.305,356.555
36,20160823,51.272,28.934,0,282.5,0,6.223,368.929
